,application_number,sponsor_name,app_numb_openfda,brand_name,generic_name,manufacturer_name,product_ndc,product_type,rxcui,spl_id,spl_set_id,package_ndc,submission_type,submission_status_date,product_number,reference_drug,active_ingredients,marketing_status,reference_standard,dosage_form
181,NDA018035,JUBILANT,,,,,,,,,,,['ORIG'],['19781128'],"['001', '002']","['No', 'Yes']","[[{'name': 'TECHNETIUM TC-99M MEDRONATE', 'strength': 'N/A'}], [{'name': 'TECHNETIUM TC-99M MEDRONATE', 'strength': 'N/A'}]]","['Discontinued', 'Prescription']","['No', 'Yes']","['INJECTABLE', 'INJECTABLE']"
182,NDA018037,BAXTER HLTHCARE,,,,,,,,,,,['ORIG'],['19790202'],"['008', '006', '004', '002', '009', '007', '005', '003', '001']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","[[{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '150MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '200MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '75MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '200MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '224MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '200MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '75MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '200MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '300MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '200MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '150MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '200MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '224MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '200MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '150MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '200MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '300MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '200MG/100ML'}]]","['Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription', 'Prescription']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
183,NDA018045,PHARMACIA AND UPJOHN,['NDA018045'],['EMCYT'],['ESTRAMUSTINE PHOSPHATE SODIUM'],['Pharmacia and Upjohn Company LLC'],['0013-0132'],['HUMAN PRESCRIPTION DRUG'],"['205562', '310194']",['33a0b2e3-316f-42e5-979e-aad10c550611'],['a9b01bc6-95ac-46f9-befa-d845a74d53c1'],['0013-0132-02'],['ORIG'],['19811224'],['001'],['Yes'],"[[{'name': 'ESTRAMUSTINE PHOSPHATE SODIUM', 'strength': 'EQ 140MG PHOSPHATE'}]]",['Prescription'],['Yes'],['CAPSULE']
184,NDA018058,CURIUM,,,,,,,,,,,['ORIG'],['19790201'],['001'],['No'],"[[{'name': 'GALLIUM CITRATE GA-67', 'strength': '2mCi/ML'}]]",['Prescription'],['No'],['INJECTABLE']
185,NDA018074,VIRTUS PHARMS,,,,,,,,,,,['ORIG'],['19790416'],['001'],['Yes'],"[[{'name': 'PHENDIMETRAZINE TARTRATE', 'strength': '105MG'}]]",['Prescription'],['Yes'],"['CAPSULE, EXTENDED RELEASE']"
186,NDA018107,CARDINAL HEALTH 414,,,,,,,,,,,['ORIG'],['19810217'],['001'],['No'],"[[{'name': 'TECHNETIUM TC-99M MEDRONATE KIT', 'strength': 'N/A'}]]",['Discontinued'],['No'],['INJECTABLE']
187,NDA018124,SUN PHARM INDS INC,,,,,,,,,,,['ORIG'],['19790829'],['001'],['No'],"[[{'name': 'TECHNETIUM TC-99M MEDRONATE KIT', 'strength': 'N/A'}]]",['Prescription'],['No'],['INJECTABLE']
188,NDA018156,B BRAUN,,,,,,,,,,,['ORIG'],['19790806'],['001'],['No'],"[[{'name': 'CALCIUM CHLORIDE', 'strength': '33MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '30MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '860MG/100ML'}]]",['Prescription'],['No'],['SOLUTION']
189,NDA018191,SCHERING PLOUGH,,,,,,,,,,,['ORIG'],['19801030'],['001'],['Yes'],"[[{'name': 'PSEUDOEPHEDRINE SULFATE', 'strength': '120MG'}]]",['Discontinued'],['No'],"['TABLET, EXTENDED RELEASE']"
190,NDA018248,FRESENIUS KABI USA,,,,,,,,,,,['ORIG'],['19800709'],"['002', '003', '001']","['Yes', 'Yes', 'Yes']","[[{'name': 'OXYTOCIN', 'strength': '100USP UNITS/10ML (10USP UNITS/ML)'}], [{'name': 'OXYTOCIN', 'strength': '300USP UNITS/30ML (10USP UNITS/ML)'}], [{'name': 'OXYTOCIN', 'strength': '10USP UNITS/ML (10USP UNITS/ML)'}]]","['Prescription', 'Prescription', 'Prescription']","['Yes', 'Yes', 'Yes']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
191,NDA018251,ICU MEDICAL INC,['NDA018251'],['RINGERS'],"['SODIUM CHLORIDE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE']",['ICU Medical Inc.'],['0990-7982'],['HUMAN PRESCRIPTION DRUG'],['847617'],['10b61f54-d5f1-4c73-93a0-aeab4a3c3714'],['a926f913-18fa-4a3e-bfd6-210e1e427960'],['0990-7982-09'],['ORIG'],['19800516'],['001'],['No'],"[[{'name': 'CALCIUM CHLORIDE', 'strength': '33MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '30MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '860MG/100ML'}]]",['Prescription'],['No'],['INJECTABLE']
192,NDA018254,HOSPIRA,,,,,,,,,,,['ORIG'],['19800115'],['001'],['No'],"[[{'name': 'CALCIUM CHLORIDE', 'strength': '33MG/100ML'}, {'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '30MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '860MG/100ML'}]]",['Discontinued'],['No'],['INJECTABLE']
193,NDA018261,PAR STERILE PRODUCTS,['NDA018261'],['PITOCIN'],['OXYTOCIN'],"['Par Pharmaceutical, Inc.']","['42023-116', '42023-130']",['HUMAN PRESCRIPTION DRUG'],"['207315', '238013', '1791721', '1791723']","['f86dd8cd-42e4-49b1-a759-de36d7e6e7e0', 'f817f0ea-b84a-4f8d-b124-5241d244e247']","['969d5b35-0add-4c23-9605-6a5b6ab65c95', '6d4b2c25-2e5d-49b5-93bc-2ae8a20916d1']","['42023-116-25', '42023-116-01', '42023-116-02', '42023-130-06']",['ORIG'],['19801119'],"['002', '003', '001']","['Yes', 'Yes', 'Yes']","[[{'name': 'OXYTOCIN', 'strength': '100USP UNITS/10ML (10USP UNITS/ML)'}], [{'name': 'OXYTOCIN', 'strength': '500USP UNITS/50ML (10USP UNITS/ML)'}], [{'name': 'OXYTOCIN', 'strength': '10USP UNITS/ML (10USP UNITS/ML)'}]]","['Prescription', 'Prescription', 'Prescription']","['No', 'No', 'Yes']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
194,NDA018279,ABBVIE,,,,,,,,,,,['ORIG'],['19800609'],"['003', '001', '002']","['Yes', 'Yes', 'Yes']","[[{'name': 'POTASSIUM CHLORIDE', 'strength': '20MEQ'}], [{'name': 'POTASSIUM CHLORIDE', 'strength': '10MEQ'}], [{'name': 'POTASSIUM CHLORIDE', 'strength': '8MEQ'}]]","['Prescription', 'Prescription', 'Prescription']","['Yes', 'No', 'No']","['TABLET, EXTENDED RELEASE', 'TABLET, EXTENDED RELEASE', 'TABLET, EXTENDED RELEASE']"
195,NDA018313,ICU MEDICAL INC,['NDA018313'],['STERILE WATER'],['WATER'],['ICU Medical Inc.'],"['0990-7973', '0990-6139', '0990-7139']",['HUMAN PRESCRIPTION DRUG'],['150985'],['6dda896d-67e2-4972-a1cc-4942aef7ee07'],['e3484bc6-ed7f-43ef-9d49-c131a8dff2dd'],"['0990-6139-22', '0990-6139-03', '0990-7139-09', '0990-7139-36', '0990-7973-05', '0990-7973-07', '0990-7973-08']",['ORIG'],['19800222'],['001'],['No'],"[[{'name': 'STERILE WATER FOR IRRIGATION', 'strength': '100%'}]]",['Prescription'],['No'],['LIQUID']
196,NDA018315,ICU MEDICAL INC,,,,,,,,,,,['ORIG'],['19800222'],['001'],['No'],"[[{'name': 'GLYCINE', 'strength': '1.5GM/100ML'}]]",['Prescription'],['No'],['SOLUTION']
197,NDA018316,ICU MEDICAL INC,['NDA018316'],['SORBITOL-MANNITOL'],['SORBITOL AND MANNITOL'],['ICU Medical Inc.'],['0990-7981'],['HUMAN PRESCRIPTION DRUG'],['311446'],['cfdced7b-d326-4baf-a7c2-964578388484'],['5b44e248-4b7b-4777-954a-921c7b309944'],['0990-7981-08'],['ORIG'],['19800222'],['001'],['Yes'],"[[{'name': 'MANNITOL', 'strength': '540MG/100ML'}, {'name': 'SORBITOL', 'strength': '2.7GM/100ML'}]]",['Prescription'],['Yes'],['SOLUTION']
198,NDA018321,CURIUM,,,,,,,,,,,['ORIG'],['19810218'],['001'],['Yes'],"[[{'name': 'TECHNETIUM TC-99M OXIDRONATE KIT', 'strength': 'N/A'}]]",['Prescription'],['Yes'],['INJECTABLE']
199,NDA018327,CURIUM,,,,,,,,,,,['ORIG'],['19820309'],"['001', '002']","['No', 'No']","[[{'name': 'XENON XE-133', 'strength': '10mCi/VIAL'}], [{'name': 'XENON XE-133', 'strength': '20mCi/VIAL'}]]","['Prescription', 'Prescription']","['No', 'No']","['GAS', 'GAS']"
200,NDA018336,BAXTER HLTHCARE,,,,,,,,,,,['ORIG'],['19811006'],['001'],['No'],"[[{'name': 'MAGNESIUM SULFATE', 'strength': '20MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '40MG/100ML'}, {'name': 'POTASSIUM PHOSPHATE, MONOBASIC', 'strength': '6.25MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '800MG/100ML'}, {'name': 'SODIUM PHOSPHATE', 'strength': '8.75MG/100ML'}]]",['Prescription'],['No'],['SOLUTION']
201,NDA018362,ICU MEDICAL INC,,,,,,,,,,,['ORIG'],['19800529'],"['008', '006', '004', '010', '002', '009', '007', '005', '003']","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']","[[{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '74.5MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '450MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '224MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '450MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '149MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '450MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '149MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '450MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '224MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '450MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '74.5MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '450MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '298MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '450MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '149MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '450MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '298MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '450MG/100ML'}]]","['Discontinued', 'Discontinued', 'Discontinued', 'Prescription', 'Prescription', 'Prescription', 'Discontinued', 'Prescription', 'Prescription']","['No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
202,NDA018365,ICU MEDICAL INC,['NDA018365'],['POTASSIUM CHLORIDE IN DEXTROSE AND SODIUM CHLORIDE'],"['DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, AND POTASSIUM CHLORIDE']","['ICU Medical Inc.', 'Hospira, Inc.']","['0990-7901', '0990-7107', '0990-7109', '0990-7903', '0990-7904', '0990-7993', '0990-7902', '0409-7901', '0409-7107', '0409-7109', '0409-7903', '0409-7904', '0409-7991', '0409-7992', '0409-7993', '0409-7998', '0409-7902', '0409-7997']",['HUMAN PRESCRIPTION DRUG'],"['615099', '615100', '615107', '615111', '630796', '1863605', '1863607', '1863973', '664704', '686185', '686534', '1863975', '1863987']","['0e0b2873-c65b-4210-a5a9-37153de6c114', '8175a5f1-5626-4f91-a0b2-024e916b8b45']","['d8ee14e9-6733-4813-9f21-2b043a5f7188', 'd101c62c-9fd8-4bb6-e7a5-5074d189d35b']","['0990-7107-09', '0990-7109-09', '0990-7903-09', '0990-7904-09', '0990-7993-09', '0990-7901-09', '0990-7902-03', '0990-7902-09', '0409-7107-09', '0409-7109-09', '0409-7903-09', '0409-7904-09', '0409-7991-09', '0409-7992-09', '0409-7993-09', '0409-7901-03', '0409-7901-09', '0409-7998-03', '0409-7998-09', '0409-7902-03', '0409-7902-09', '0409-7997-09']",['ORIG'],['19800529'],"['008', '006', '004', '002', '009', '007', '005', '003', '001']","['No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No', 'No', 'Yes']","[[{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '224MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '149MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '298MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '74.5MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '298MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '149MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '74.5MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '224MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '149MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '225MG/100ML'}]]","['Discontinued', 'Discontinued', 'Discontinued', 'Discontinued', 'Discontinued', 'Discontinued', 'Discontinued', 'Discontinued', 'Prescription']","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
203,NDA018371,ICU MEDICAL INC,,,,,,,,,,,['ORIG'],['19800529'],"['003', '001', '002']","['No', 'No', 'No']","[[{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '224MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '149MG/100ML'}], [{'name': 'DEXTROSE', 'strength': '5GM/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '298MG/100ML'}]]","['Discontinued', 'Prescription', 'Discontinued']","['No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
204,NDA018397,BAYER HEALTHCARE LLC,,,,,,,,,,,['ORIG'],['19810331'],['001'],['Yes'],"[[{'name': 'CHLORPHENIRAMINE MALEATE', 'strength': '8MG'}, {'name': 'PSEUDOEPHEDRINE SULFATE', 'strength': '120MG'}]]",['Discontinued'],['No'],"['TABLET, EXTENDED RELEASE']"
205,NDA018429,ICU MEDICAL INC,,,,,,,,,,,['ORIG'],['19801128'],['001'],['No'],"[[{'name': 'AMINO ACIDS', 'strength': '5.2% (5.2GM/100ML)'}]]",['Discontinued'],['No'],['INJECTABLE']
206,NDA018449,FRESENIUS,,,,,,,,,,,['ORIG'],['19810123'],['001'],['Yes'],"[[{'name': 'SOYBEAN OIL', 'strength': '20%'}]]",['Prescription'],['Yes'],['INJECTABLE']
207,NDA018467,SUN PHARM INDS INC,,,,,,,,,,,['ORIG'],['19820316'],['001'],['No'],"[[{'name': 'TECHNETIUM TC-99M DISOFENIN KIT', 'strength': 'N/A'}]]",['Discontinued'],['No'],['INJECTABLE']
208,NDA018469,ALCON,,,,,,,,,,,['ORIG'],['19811028'],['001'],['Yes'],"[[{'name': 'CALCIUM CHLORIDE', 'strength': '0.154MG/ML'}, {'name': 'DEXTROSE', 'strength': '0.92MG/ML'}, {'name': 'GLUTATHIONE DISULFIDE', 'strength': '0.184MG/ML'}, {'name': 'MAGNESIUM CHLORIDE', 'strength': '0.2MG/ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '0.38MG/ML'}, {'name': 'SODIUM BICARBONATE', 'strength': '2.1MG/ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '7.14MG/ML'}, {'name': 'SODIUM PHOSPHATE', 'strength': '0.42MG/ML'}]]",['Prescription'],['Yes'],['SOLUTION']
209,NDA018494,BAXTER HLTHCARE,,,,,,,,,,,['ORIG'],['19820219'],['001'],['No'],"[[{'name': 'CALCIUM CHLORIDE', 'strength': '20MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '30MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '600MG/100ML'}, {'name': 'SODIUM LACTATE', 'strength': '310MG/100ML'}]]",['Prescription'],['No'],['SOLUTION']
210,NDA018495,BAXTER HLTHCARE,,,,,,,,,,,['ORIG'],['19820219'],['001'],['No'],"[[{'name': 'CALCIUM CHLORIDE', 'strength': '33MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '30MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '860MG/100ML'}]]",['Prescription'],['No'],['SOLUTION']
211,NDA018508,BAXTER HLTHCARE,,,,,,,,,,,['ORIG'],['19820219'],['001'],['No'],"[[{'name': 'MAGNESIUM SULFATE', 'strength': '20MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '40MG/100ML'}, {'name': 'POTASSIUM PHOSPHATE, MONOBASIC', 'strength': '6.25MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '800MG/100ML'}, {'name': 'SODIUM PHOSPHATE', 'strength': '8.75MG/100ML'}]]",['Prescription'],['No'],['SOLUTION']
212,NDA018511,JUBILANT,,,,,,,,,,,['ORIG'],['19891229'],['001'],['Yes'],"[[{'name': 'TECHNETIUM TC-99M PENTETATE KIT', 'strength': 'N/A'}]]",['Prescription'],['Yes'],['INJECTABLE']
213,NDA018562,ICU MEDICAL INC,['NDA018562'],['DEXTROSE'],['DEXTROSE'],"['Hospira, Inc.', 'ICU Medical Inc.']","['0409-7937', '0409-7918', '0409-7935', '0409-7936', '0409-8004', '0990-7937', '0990-7918', '0990-7935', '0990-7936', '0990-8004']",['HUMAN PRESCRIPTION DRUG'],"['237649', '237650', '242694', '1795498', '1795518', '1795519', '237656']","['f22bcda2-771d-4ac9-b69b-f8fe36205568', '020b8c2c-636b-4223-8ad5-8297174a3285']","['155f0dfd-657a-4fc4-11a7-5b84cc216c4c', 'b5cb7a5a-bbe8-4217-a82e-da818f7771c9']","['0409-7918-19', '0409-7935-19', '0409-7936-19', '0409-7936-29', '0409-7937-19', '0409-8004-15', '0990-7918-19', '0990-7935-19', '0990-7936-19', '0990-7937-19', '0990-8004-15']",['ORIG'],['19820323'],['001'],['Yes'],"[[{'name': 'DEXTROSE', 'strength': '40GM/100ML'}]]",['Prescription'],['Yes'],['INJECTABLE']
214,NDA018564,ICU MEDICAL INC,,,,,,,,,,,['ORIG'],['19820323'],['001'],['Yes'],"[[{'name': 'DEXTROSE', 'strength': '20GM/100ML'}]]",['Prescription'],['Yes'],['INJECTABLE']
215,NDA018565,HIKMA,,,,,,,,,,,['ORIG'],['19840918'],"['001', '004', '002', '003']","['Yes', 'Yes', 'Yes', 'Yes']","[[{'name': 'MORPHINE SULFATE', 'strength': '0.5MG/ML'}], [{'name': 'MORPHINE SULFATE', 'strength': '25MG/ML'}], [{'name': 'MORPHINE SULFATE', 'strength': '1MG/ML'}], [{'name': 'MORPHINE SULFATE', 'strength': '10MG/ML'}]]","['Prescription', 'Prescription', 'Prescription', 'Prescription']","['Yes', 'Yes', 'Yes', 'Yes']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
216,NDA018578,DR REDDYS LA,,,,,,,,,,,['ORIG'],['19820225'],"['003', '001']","['No', 'No']","[[{'name': 'SILVER SULFADIAZINE', 'strength': '1%'}], [{'name': 'SILVER SULFADIAZINE', 'strength': '1%'}]]","['Discontinued', 'Prescription']","['No', 'No']","['CREAM', 'CREAM']"
217,NDA018582,B BRAUN,,,,,,,,,,,['ORIG'],['19820506'],['001'],['No'],"[[{'name': 'AMINO ACIDS', 'strength': '3%'}, {'name': 'CALCIUM ACETATE', 'strength': '26MG/100ML'}, {'name': 'GLYCERIN', 'strength': '3GM/100ML'}, {'name': 'MAGNESIUM ACETATE', 'strength': '54MG/100ML'}, {'name': 'PHOSPHORIC ACID', 'strength': '41MG/100ML'}, {'name': 'POTASSIUM CHLORIDE', 'strength': '150MG/100ML'}, {'name': 'SODIUM ACETATE', 'strength': '200MG/100ML'}, {'name': 'SODIUM CHLORIDE', 'strength': '120MG/100ML'}]]",['Prescription'],['No'],['INJECTABLE']
218,NDA018609,BAXTER HLTHCARE,['NDA018609'],['HEPARIN SODIUM IN SODIUM CHLORIDE'],['HEPARIN SODIUM'],['Baxter Healthcare Corporation'],"['0338-0424', '0338-0428', '0338-0431', '0338-0433']",['HUMAN PRESCRIPTION DRUG'],"['1658690', '1658692']","['35c07274-efff-4fcc-a075-1645c2e49327', 'b177da3a-20f0-40c8-8a62-3f6ae3240e84']","['35c07274-efff-4fcc-a075-1645c2e49327', '0d929726-76c3-48fc-b4e7-fd06409f9fb3']","['0338-0424-18', '0338-0428-12', '0338-0431-03', '0338-0433-04']",['ORIG'],['19820428'],"['004', '002', '003', '001']","['No', 'No', 'No', 'No']","[[{'name': 'HEPARIN SODIUM', 'strength': '2,000 UNITS/1000ML'}], [{'name': 'HEPARIN SODIUM', 'strength': '200 UNITS/100ML'}], [{'name': 'HEPARIN SODIUM', 'strength': '500 UNITS/100ML'}], [{'name': 'HEPARIN SODIUM', 'strength': '200 UNITS/100ML'}]]","['Prescription', 'Prescription', 'Discontinued', 'Prescription']","['No', 'No', 'No', 'No']","['INJECTABLE', 'INJECTABLE', 'INJECTABLE', 'INJECTABLE']"
